IND_UUID,IND_NAME,IND_CODE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_TIME_TYPE,DIM_SEX,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_NUMERIC_LOWER,VALUE_NUMERIC_UPPER,DIM_PUBLISH_STATE_CODE
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,4,Afghanistan,2000,YEAR,Total,RATE_PER_100000,9.77843,5.18864,16.40536,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,4,Afghanistan,2000,YEAR,Female,RATE_PER_100000,2.43228,1.17834,4.44393,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,4,Afghanistan,2000,YEAR,Male,RATE_PER_100000,16.71288,8.97419,27.69646,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,953,Africa,2000,YEAR,Total,RATE_PER_100000,13.83233,9.09355,20.3966,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,953,Africa,2000,YEAR,Female,RATE_PER_100000,6.4001,3.89115,9.90798,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,953,Africa,2000,YEAR,Male,RATE_PER_100000,21.33789,14.34727,30.9887,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,24,Angola,2000,YEAR,Total,RATE_PER_100000,13.30731,6.76041,23.48238,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,24,Angola,2000,YEAR,Female,RATE_PER_100000,5.05782,2.40806,9.01421,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,24,Angola,2000,YEAR,Male,RATE_PER_100000,21.64322,11.15836,38.10213,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,8,Albania,2000,YEAR,Total,RATE_PER_100000,6.13917,4.77488,7.69706,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,8,Albania,2000,YEAR,Female,RATE_PER_100000,1.87041,1.35332,2.51289,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,8,Albania,2000,YEAR,Male,RATE_PER_100000,10.30614,8.11483,12.75759,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,954,Americas,2000,YEAR,Total,RATE_PER_100000,19.32664,17.89467,20.89437,PUBLISHED
361734E,Homicide deaths,VIOLENCE_HOMICIDERATE,954,Americas,2000,YEAR,Female,RATE_PER_100000,4.74866,4.19628,5.40759,PUBLISHED
